Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Lars Eller,79,MTL,NHL,C,2015-16,26,13,13,26,-13,28,11,1,1,2,149,8.7,1205,0.16,0.16,0.33,1.89,1,0.8,1.8
Ryan Ellis,79,NSH,NHL,D,2015-16,25,10,22,32,13,35,6,3,1,2,152,6.6,1651,0.13,0.28,0.41,1.92,2.7,4.8,7.6
Jesper Fast,79,NYR,NHL,RW,2015-16,24,10,20,30,9,18,10,0,0,3,75,13.3,1180,0.13,0.25,0.38,0.95,1.3,1.5,2.7
Jake Gardiner,79,TOR,NHL,D,2015-16,25,7,24,31,-15,32,6,1,0,2,122,5.7,1629,0.09,0.3,0.39,1.54,2.2,2.5,4.7
Johnny Gaudreau,79,CGY,NHL,LW,2015-16,22,30,48,78,4,20,24,6,0,6,217,13.8,1575,0.38,0.61,0.99,2.75,7.5,1.7,9.2
Brian Gionta,79,BUF,NHL,RW,2015-16,37,12,21,33,-5,12,11,1,0,2,169,7.1,1401,0.15,0.27,0.42,2.14,1.3,1.7,2.9
Noah Hanifin,79,CAR,NHL,D,2015-16,19,4,18,22,-14,22,3,1,0,0,122,3.3,1414,0.05,0.23,0.28,1.54,1.2,2.6,3.8
Scott Hartnell,79,CBJ,NHL,LW,2015-16,33,23,26,49,-11,112,13,10,0,1,150,15.3,1231,0.29,0.33,0.62,1.9,4.7,0.9,5.6
Kevin Hayes,79,NYR,NHL,RW,2015-16,23,14,22,36,4,30,11,3,0,3,133,10.5,1079,0.18,0.28,0.46,1.68,2.7,1.2,3.9
Jaromir Jagr,79,FLA,NHL,RW,2015-16,43,27,39,66,23,48,22,5,0,4,143,18.9,1349,0.34,0.49,0.84,1.81,6.9,2.3,9.2
Ryan Kesler,79,ANA,NHL,C,2015-16,31,21,32,53,5,78,15,5,1,4,164,12.8,1543,0.27,0.41,0.67,2.08,4.1,2.3,6.4
Chris Kreider,79,NYR,NHL,LW,2015-16,24,21,22,43,10,58,16,5,0,3,158,13.3,1261,0.27,0.28,0.54,2,3.8,1.6,5.4
David Legwand,79,BUF,NHL,C,2015-16,35,5,9,14,-4,14,4,0,1,0,61,8.2,767,0.06,0.11,0.18,0.77,0,0.9,0.9
Jori Lehtera,79,STL,NHL,C,2015-16,28,9,25,34,12,38,8,1,0,3,83,10.8,1271,0.11,0.32,0.43,1.05,1.3,2.1,3.4
Valeri Nichushkin,79,DAL,NHL,RW,2015-16,20,9,20,29,2,12,8,1,0,1,139,6.5,1101,0.11,0.25,0.37,1.76,1.3,1.1,2.3
Kyle Okposo,79,NYI,NHL,RW,2015-16,27,22,42,64,-4,51,15,7,0,4,202,10.9,1438,0.28,0.53,0.81,2.56,5.8,1.4,7.2
Alex Ovechkin,79,WSH,NHL,LW,2015-16,30,50,21,71,21,53,31,19,0,8,398,12.6,1604,0.63,0.27,0.9,5.04,9.1,2.6,11.7
Colton Parayko,79,STL,NHL,D,2015-16,22,9,24,33,28,29,6,3,0,3,165,5.5,1532,0.11,0.3,0.42,2.09,2.8,5.9,8.8
Tanner Pearson,79,LAK,NHL,LW,2015-16,23,15,21,36,11,18,13,2,0,4,137,10.9,1142,0.19,0.27,0.46,1.73,2.6,1.7,4.3
Roman Polak,79,TOT,NHL,D,2015-16,29,1,15,16,6,72,1,0,0,0,91,1.1,1513,0.01,0.19,0.2,1.15,0,4,3.9
Matt Read,79,PHI,NHL,RW,2015-16,29,11,15,26,-5,27,9,2,0,2,127,8.7,1205,0.14,0.19,0.33,1.61,0.7,1.2,1.9
Sam Reinhart,79,BUF,NHL,C,2015-16,20,23,19,42,-8,8,15,8,0,3,165,13.9,1330,0.29,0.24,0.53,2.09,3.8,1.5,5.2
Chris Tierney,79,SJS,NHL,C,2015-16,21,7,13,20,-16,20,5,1,1,2,96,7.3,1042,0.09,0.16,0.25,1.22,0.1,0.6,0.7
Chris VandeVelde,79,PHI,NHL,C,2015-16,28,2,12,14,-7,27,1,0,1,0,77,2.6,1071,0.03,0.15,0.18,0.97,-1.2,1,-0.3
Joel Ward,79,SJS,NHL,RW,2015-16,35,21,22,43,-15,28,15,5,1,3,138,15.2,1341,0.27,0.28,0.54,1.75,3.4,1,4.4
Tyson Barrie,78,COL,NHL,D,2015-16,24,13,36,49,-16,31,9,3,1,5,172,7.6,1810,0.17,0.46,0.63,2.21,4.6,2.6,7.2
J.T. Brown,78,TBL,NHL,RW,2015-16,25,8,14,22,16,59,8,0,0,0,140,5.7,1042,0.1,0.18,0.28,1.79,0.5,1.9,2.4
Danny DeKeyser,78,DET,NHL,D,2015-16,25,8,12,20,2,44,8,0,0,3,72,11.1,1701,0.1,0.15,0.26,0.92,1,4.2,5.2
Aaron Ekblad,78,FLA,NHL,D,2015-16,19,15,21,36,18,41,12,3,0,4,182,8.2,1691,0.19,0.27,0.46,2.33,3.7,4.5,8.2
Claude Giroux,78,PHI,NHL,C,2015-16,28,22,45,67,-8,53,15,6,1,5,241,9.1,1603,0.28,0.58,0.86,3.09,5.4,1.5,6.9
Victor Hedman,78,TBL,NHL,D,2015-16,25,10,37,47,21,46,9,1,0,0,180,5.6,1799,0.13,0.47,0.6,2.31,4.3,5.8,10.1
Mike Hoffman,78,OTT,NHL,LW,2015-16,26,29,30,59,1,18,20,9,0,3,242,12,1368,0.37,0.38,0.76,3.1,6.4,1.2,7.6
Sergey Kalinin,78,NJD,NHL,C,2015-16,24,8,7,15,-9,33,5,3,0,2,70,11.4,1039,0.1,0.09,0.19,0.9,-0.3,1.2,0.9
Andrew Ladd,78,TOT,NHL,LW,2015-16,30,25,21,46,-13,45,13,10,2,3,181,13.8,1475,0.32,0.27,0.59,2.32,3.9,1,4.9
Paul Martin,78,SJS,NHL,D,2015-16,34,3,17,20,13,22,2,1,0,0,49,6.1,1617,0.04,0.22,0.26,0.63,0.5,4.6,5.1
Alec Martinez,78,LAK,NHL,D,2015-16,28,10,21,31,16,40,6,4,0,4,124,8.1,1650,0.13,0.27,0.4,1.59,2.6,5,7.6
Connor Murphy,78,ARI,NHL,D,2015-16,22,6,11,17,5,48,5,1,0,1,101,5.9,1599,0.08,0.14,0.22,1.29,0.6,3.6,4.2
Brandon Saad,78,CBJ,NHL,LW,2015-16,23,31,22,53,1,14,25,6,0,7,233,13.3,1343,0.4,0.28,0.68,2.99,5.8,1.5,7.2
Andrew Shaw,78,CHI,NHL,RW,2015-16,24,14,20,34,11,69,10,4,0,2,153,9.2,1143,0.18,0.26,0.44,1.96,2.2,1.7,3.9
Drew Stafford,78,WPG,NHL,RW,2015-16,30,21,17,38,-23,28,14,6,1,6,187,11.2,1394,0.27,0.22,0.49,2.4,2.8,0.5,3.3
John Tavares,78,NYI,NHL,C,2015-16,25,33,37,70,6,38,26,7,0,5,250,13.2,1560,0.42,0.47,0.9,3.21,7.4,1.9,9.3
Teuvo Teravainen,78,CHI,NHL,C,2015-16,21,13,22,35,-2,20,11,2,0,3,136,9.6,1197,0.17,0.28,0.45,1.74,2,1.2,3.3
Shea Weber,78,NSH,NHL,D,2015-16,30,20,31,51,-7,27,6,14,0,1,189,10.6,1979,0.26,0.4,0.65,2.42,5.6,3.9,9.5
Artem Anisimov,77,CHI,NHL,C,2015-16,27,20,22,42,8,12,12,5,3,1,121,16.5,1393,0.26,0.29,0.55,1.57,3.1,1.9,4.9
Sam Bennett,77,CGY,NHL,C,2015-16,19,18,18,36,-11,37,15,3,0,2,136,13.2,1166,0.23,0.23,0.47,1.77,2.7,0.7,3.4
Jeff Carter,77,LAK,NHL,C,2015-16,31,24,38,62,18,20,19,4,1,6,242,9.9,1416,0.31,0.49,0.81,3.14,5.7,2.3,8
Alex Chiasson,77,OTT,NHL,RW,2015-16,25,8,6,14,2,45,5,2,1,1,88,9.1,1050,0.1,0.08,0.18,1.14,-0.4,1,0.6
Cal Clutterbuck,77,NYI,NHL,RW,2015-16,28,15,8,23,7,22,13,0,2,5,80,18.8,918,0.19,0.1,0.3,1.04,1.8,1.3,3.1
Andrew Copp,77,WPG,NHL,C,2015-16,21,7,6,13,8,6,7,0,0,0,54,13,616,0.09,0.08,0.17,0.7,0.6,1,1.5
Andrew Desjardins,77,CHI,NHL,LW,2015-16,29,8,5,13,-8,30,8,0,0,1,96,8.3,1030,0.1,0.06,0.17,1.25,-0.5,0.8,0.3
Ryan Getzlaf,77,ANA,NHL,C,2015-16,30,13,50,63,14,55,7,6,0,5,178,7.3,1502,0.17,0.65,0.82,2.31,4.4,2.6,7
Josh Gorges,77,BUF,NHL,D,2015-16,31,2,10,12,-7,72,2,0,0,0,57,3.5,1576,0.03,0.13,0.16,0.74,-0.4,3.4,3.1
Darren Helm,77,DET,NHL,C,2015-16,29,13,13,26,-2,32,13,0,0,3,165,7.9,1160,0.17,0.17,0.34,2.14,1.2,1.3,2.4
Nikita Kucherov,77,TBL,NHL,RW,2015-16,22,30,36,66,9,30,21,9,0,4,209,14.4,1402,0.39,0.47,0.86,2.71,7.2,2,9.2
Brad Marchand,77,BOS,NHL,LW,2015-16,27,37,24,61,21,90,27,6,4,6,250,14.8,1432,0.48,0.31,0.79,3.25,7.1,2.4,9.4
Jake McCabe,77,BUF,NHL,D,2015-16,22,4,10,14,6,51,4,0,0,0,62,6.5,1472,0.05,0.13,0.18,0.81,0.2,4.3,4.5
Jay McClement,77,CAR,NHL,C,2015-16,32,3,8,11,-17,24,2,0,1,0,64,4.7,893,0.04,0.1,0.14,0.83,-0.9,0.5,-0.4
P.A. Parenteau,77,TOR,NHL,RW,2015-16,32,20,21,41,0,68,13,7,0,3,168,11.9,1252,0.26,0.27,0.53,2.18,3.3,1.5,4.8
Jared Spurgeon,77,MIN,NHL,D,2015-16,26,11,18,29,10,14,6,5,0,2,122,9,1746,0.14,0.23,0.38,1.58,2.3,4.9,7.2
Marc Staal,77,NYR,NHL,D,2015-16,29,2,13,15,2,36,2,0,0,1,65,3.1,1515,0.03,0.17,0.19,0.84,0,2.7,2.8
Steven Stamkos,77,TBL,NHL,C,2015-16,25,36,28,64,3,38,21,14,1,8,216,16.7,1521,0.47,0.36,0.83,2.81,7.3,1.9,9.2
Andrej Sustr,77,TBL,NHL,D,2015-16,25,4,17,21,-2,30,4,0,0,1,65,6.2,1296,0.05,0.22,0.27,0.84,1.3,2.7,4
Kris Versteeg,77,TOT,NHL,RW,2015-16,29,15,23,38,0,45,13,2,0,4,156,9.6,1185,0.19,0.3,0.49,2.03,2.7,1.6,4.3
Brian Boyle,76,TBL,NHL,C,2015-16,31,13,7,20,-7,57,9,2,2,4,117,11.1,981,0.17,0.09,0.26,1.54,1.1,0.8,1.9
Kyle Brodziak,76,STL,NHL,C,2015-16,31,7,4,11,-1,37,4,0,3,4,49,14.3,821,0.09,0.05,0.14,0.64,-0.3,1,0.7
Brenden Dillon,76,SJS,NHL,D,2015-16,25,2,9,11,8,61,2,0,0,1,93,2.2,1268,0.03,0.12,0.14,1.22,-0.1,3.4,3.3
Joonas Donskoi,76,SJS,NHL,RW,2015-16,23,11,25,36,4,20,8,3,0,1,107,10.3,1076,0.14,0.33,0.47,1.41,2.3,1.5,3.7
Matt Duchene,76,COL,NHL,C,2015-16,25,30,29,59,-8,24,22,8,0,6,200,15,1413,0.39,0.38,0.78,2.63,5.9,1.3,7.2
Valtteri Filppula,76,TBL,NHL,C,2015-16,31,8,23,31,-6,46,6,1,1,2,101,7.9,1388,0.11,0.3,0.41,1.33,0.6,1.3,2
Tomas Fleischmann,76,TOT,NHL,LW,2015-16,31,14,11,25,-8,32,13,0,1,3,123,11.4,1156,0.18,0.14,0.33,1.62,1.1,1,2.1
Radko Gudas,76,PHI,NHL,D,2015-16,25,5,9,14,-3,116,5,0,0,1,150,3.3,1508,0.07,0.12,0.18,1.97,0.2,3,3.2
Erik Haula,76,MIN,NHL,C,2015-16,24,14,20,34,21,24,12,0,2,2,99,14.1,967,0.18,0.26,0.45,1.3,2.7,2.1,4.8
Jonathan Huberdeau,76,FLA,NHL,LW,2015-16,22,20,39,59,17,43,15,4,1,2,174,11.5,1379,0.26,0.51,0.78,2.29,5.2,2.1,7.3
Nazem Kadri,76,TOR,NHL,C,2015-16,25,17,28,45,-15,73,13,4,0,2,260,6.5,1389,0.22,0.37,0.59,3.42,3,1,4
John Klingberg,76,DAL,NHL,D,2015-16,23,10,48,58,22,30,8,2,0,4,171,5.8,1724,0.13,0.63,0.76,2.25,5.6,4.6,10.2
Curtis Lazar,76,OTT,NHL,RW,2015-16,20,6,14,20,-1,18,4,1,1,0,78,7.7,1053,0.08,0.18,0.26,1.03,0.1,0.9,0.9
Teddy Purcell,76,TOT,NHL,RW,2015-16,30,14,29,43,-11,12,12,2,0,2,149,9.4,1279,0.18,0.38,0.57,1.96,2.8,1.1,3.9
Patrick Sharp,76,DAL,NHL,LW,2015-16,34,20,35,55,-3,27,13,7,0,6,226,8.8,1339,0.26,0.46,0.72,2.97,4.9,1,5.9
Vincent Trocheck,76,FLA,NHL,C,2015-16,22,25,28,53,15,44,20,4,1,4,174,14.4,1351,0.33,0.37,0.7,2.29,5.1,2,7.1
Antoine Vermette,76,ARI,NHL,C,2015-16,33,17,21,38,-14,93,10,6,1,2,123,13.8,1265,0.22,0.28,0.5,1.62,2.7,0.8,3.5
Daniel Winnik,76,TOT,NHL,C,2015-16,30,6,13,19,4,38,6,0,0,0,101,5.9,1042,0.08,0.17,0.25,1.33,-0.1,1.4,1.3
Nicklas Backstrom,75,WSH,NHL,C,2015-16,28,20,50,70,17,36,17,3,0,4,129,15.5,1439,0.27,0.67,0.93,1.72,6.1,2.2,8.3
Cody Ceci,75,OTT,NHL,D,2015-16,22,10,16,26,9,18,10,0,0,2,116,8.6,1448,0.13,0.21,0.35,1.55,2.4,2.8,5.2
Brandon Dubinsky,75,CBJ,NHL,C,2015-16,29,17,31,48,-16,71,12,5,0,3,158,10.8,1407,0.23,0.41,0.64,2.11,3.4,0.8,4.3
Oliver Ekman-Larsson,75,ARI,NHL,D,2015-16,24,21,34,55,-6,96,9,12,0,8,228,9.2,1858,0.28,0.45,0.73,3.04,6.3,3.2,9.5
Marcus Foligno,75,BUF,NHL,LW,2015-16,24,10,13,23,4,79,8,0,2,2,81,12.3,989,0.13,0.17,0.31,1.08,1,1.5,2.5
Jimmy Hayes,75,BOS,NHL,RW,2015-16,26,13,16,29,-12,60,10,3,0,0,127,10.2,1037,0.17,0.21,0.39,1.69,1.8,0.6,2.4
Ales Hemsky,75,DAL,NHL,RW,2015-16,32,13,26,39,3,20,12,1,0,0,155,8.4,983,0.17,0.35,0.52,2.07,3.2,1,4.2
Ben Hutton,75,VAN,NHL,D,2015-16,22,1,24,25,-21,14,1,0,0,0,104,1,1491,0.01,0.32,0.33,1.39,1.1,1.9,3
David Jones,75,TOT,NHL,RW,2015-16,31,11,7,18,-7,10,10,1,0,2,84,13.1,933,0.15,0.09,0.24,1.12,0.6,0.7,1.3
Gabriel Landeskog,75,COL,NHL,LW,2015-16,23,20,33,53,-5,69,15,4,1,2,169,11.8,1419,0.27,0.44,0.71,2.25,4.1,1.4,5.6
Trevor Lewis,75,LAK,NHL,C,2015-16,29,8,8,16,-10,20,7,0,1,1,167,4.8,1092,0.11,0.11,0.21,2.23,-0.3,0.8,0.4
Jason Pominville,75,MIN,NHL,RW,2015-16,33,11,25,36,10,12,8,3,0,2,187,5.9,1227,0.15,0.33,0.48,2.49,1.9,1.9,3.8
Jason Spezza,75,DAL,NHL,C,2015-16,32,33,30,63,4,22,24,9,0,7,202,16.3,1239,0.44,0.4,0.84,2.69,7.5,1.3,8.8
Viktor Stalberg,75,NYR,NHL,LW,2015-16,30,9,11,20,6,22,9,0,0,0,125,7.2,915,0.12,0.15,0.27,1.67,0.8,1.1,1.8
Mark Stone,75,OTT,NHL,RW,2015-16,23,23,38,61,-4,38,17,5,1,1,151,15.2,1508,0.31,0.51,0.81,2.01,5.6,1.1,6.7
Michael Stone,75,ARI,NHL,D,2015-16,25,6,30,36,-10,62,6,0,0,1,161,3.7,1687,0.08,0.4,0.48,2.15,2.7,2.5,5.1
Pierre-Edouard Bellemare,74,PHI,NHL,LW,2015-16,30,7,7,14,-8,27,6,0,1,1,102,6.9,1004,0.09,0.09,0.19,1.38,-0.5,0.8,0.4
Dan Boyle,74,NYR,NHL,D,2015-16,39,10,14,24,0,30,7,3,0,0,95,10.5,1392,0.14,0.19,0.32,1.28,2.1,2.3,4.5
Dan Girardi,74,NYR,NHL,D,2015-16,31,2,15,17,18,20,2,0,0,1,77,2.6,1504,0.03,0.2,0.23,1.04,0.3,4.1,4.3
Mike Green,74,DET,NHL,D,2015-16,30,7,28,35,-6,38,2,5,0,0,124,5.6,1463,0.09,0.38,0.47,1.68,2.9,2.9,5.9
Mikhail Grigorenko,74,COL,NHL,C,2015-16,21,6,21,27,2,8,5,1,0,0,84,7.1,982,0.08,0.28,0.36,1.14,0.9,1.2,2.2
Marcus Johansson,74,WSH,NHL,LW,2015-16,25,17,29,46,12,16,11,6,0,7,132,12.9,1231,0.23,0.39,0.62,1.78,3.6,1.8,5.4
Dmitry Kulikov,74,FLA,NHL,D,2015-16,25,1,16,17,8,51,1,0,0,1,99,1,1557,0.01,0.22,0.23,1.34,0.1,3.4,3.5
Johan Larsson,74,BUF,NHL,LW,2015-16,23,10,7,17,-4,27,9,1,0,5,95,10.5,1097,0.14,0.09,0.23,1.28,0,1.3,1.4
Adam Lowry,74,WPG,NHL,C,2015-16,22,7,10,17,-9,53,7,0,0,2,73,9.6,1037,0.09,0.14,0.23,0.99,-0.2,0.7,0.5
Henrik Sedin,74,VAN,NHL,C,2015-16,35,11,44,55,0,24,5,5,1,0,99,11.1,1360,0.15,0.59,0.74,1.34,3.6,1.7,5.4
Jack Skille,74,COL,NHL,RW,2015-16,28,8,6,14,-4,11,8,0,0,0,106,7.5,654,0.11,0.08,0.19,1.43,0.6,0.6,1.2
Thomas Vanek,74,MIN,NHL,LW,2015-16,32,18,23,41,-9,22,12,6,0,5,146,12.3,1155,0.24,0.31,0.55,1.97,3.5,1,4.5
Travis Zajac,74,NJD,NHL,C,2015-16,30,14,28,42,3,25,6,6,2,2,111,12.6,1469,0.19,0.38,0.57,1.5,2.3,2.3,4.7
Ryan Callahan,73,TBL,NHL,RW,2015-16,30,10,18,28,-5,45,8,2,0,1,156,6.4,1258,0.14,0.25,0.38,2.14,0.9,1.2,2.1
Matt Calvert,73,CBJ,NHL,LW,2015-16,26,11,13,24,1,51,10,1,0,1,114,9.6,1104,0.15,0.18,0.33,1.56,0.9,1.2,2.1
Joe Colborne,73,CGY,NHL,C,2015-16,26,19,25,44,-9,27,16,3,0,2,100,19,1107,0.26,0.34,0.6,1.37,3.9,0.7,4.6
Barret Jackman,73,NSH,NHL,D,2015-16,34,1,4,5,1,76,1,0,0,1,64,1.6,1012,0.01,0.05,0.07,0.88,-0.6,2.4,1.8
Mattias Janmark,73,DAL,NHL,C,2015-16,23,15,14,29,12,16,14,0,1,3,108,13.9,1035,0.21,0.19,0.4,1.48,2.2,1.4,3.6
Erik Johnson,73,COL,NHL,D,2015-16,27,11,16,27,-19,50,6,3,2,0,175,6.3,1711,0.15,0.22,0.37,2.4,2.1,2.2,4.2
Ryan McDonagh,73,NYR,NHL,D,2015-16,26,9,25,34,26,22,7,2,0,0,113,8,1632,0.12,0.34,0.47,1.55,2.9,5,7.8
John Moore,73,NJD,NHL,D,2015-16,25,4,15,19,-12,28,3,1,0,3,106,3.8,1448,0.05,0.21,0.26,1.45,0.8,3.2,4
Tyler Myers,73,WPG,NHL,D,2015-16,25,9,18,27,6,72,9,0,0,0,140,6.4,1651,0.12,0.25,0.37,1.92,2,3.5,5.6
Alex Pietrangelo,73,STL,NHL,D,2015-16,26,7,30,37,10,20,6,1,0,1,182,3.8,1920,0.1,0.41,0.51,2.49,2.6,5.3,7.9
Marco Scandella,73,MIN,NHL,D,2015-16,25,5,16,21,6,22,3,2,0,0,126,4,1511,0.07,0.22,0.29,1.73,1.1,4,5
Anton Stralman,73,TBL,NHL,D,2015-16,29,9,25,34,16,20,8,1,0,0,127,7.1,1612,0.12,0.34,0.47,1.74,2.9,4.9,7.9
Jakub Voracek,73,PHI,NHL,RW,2015-16,26,11,44,55,-5,38,10,1,0,2,213,5.2,1357,0.15,0.6,0.75,2.92,3.5,1.4,4.9
Ryan White,73,PHI,NHL,C,2015-16,27,11,5,16,-9,101,8,3,0,0,88,12.5,917,0.15,0.07,0.22,1.21,0.4,0.7,1.1
Jay Bouwmeester,72,STL,NHL,D,2015-16,32,3,16,19,-4,18,2,1,0,0,105,2.9,1664,0.04,0.22,0.26,1.46,0.4,3.5,3.9
Calvin de Haan,72,NYI,NHL,D,2015-16,24,2,14,16,3,20,2,0,0,0,102,2,1486,0.03,0.19,0.22,1.42,0.2,3.4,3.6
Shane Doan,72,ARI,NHL,RW,2015-16,39,28,19,47,4,98,16,12,0,4,170,16.5,1267,0.39,0.26,0.65,2.36,5,1.5,6.5
Leon Draisaitl,72,EDM,NHL,C,2015-16,20,19,32,51,-2,20,14,5,0,2,133,14.3,1300,0.26,0.44,0.71,1.85,4.2,1.6,5.8
Nikolaj Ehlers,72,WPG,NHL,RW,2015-16,19,15,23,38,3,21,11,4,0,0,167,9,1159,0.21,0.32,0.53,2.32,2.8,1.4,4.1
Alexei Emelin,72,MTL,NHL,D,2015-16,29,0,12,12,-7,71,0,0,0,0,71,0,1476,0,0.17,0.17,0.99,-0.5,2.6,2.1
Toby Enstrom,72,WPG,NHL,D,2015-16,31,2,14,16,8,44,2,0,0,0,50,4,1502,0.03,0.19,0.22,0.69,0.2,3.4,3.6
Robby Fabbri,72,STL,NHL,C,2015-16,20,18,19,37,-2,25,16,2,0,3,114,15.8,959,0.25,0.26,0.51,1.58,3.5,1.1,4.6
Nick Foligno,72,CBJ,NHL,LW,2015-16,28,12,25,37,-14,53,12,0,0,2,149,8.1,1216,0.17,0.35,0.51,2.07,2.2,0.7,2.9
Jason Garrison,72,TBL,NHL,D,2015-16,31,5,6,11,-4,18,5,0,0,1,99,5.1,1329,0.07,0.08,0.15,1.38,0.2,2.6,2.8
Carl Gunnarsson,72,STL,NHL,D,2015-16,29,3,6,9,7,31,2,1,0,0,51,5.9,1251,0.04,0.08,0.13,0.71,-0.2,3.5,3.3
Travis Hamonic,72,NYI,NHL,D,2015-16,25,5,16,21,-5,35,4,0,1,1,147,3.4,1715,0.07,0.22,0.29,2.04,0.8,3.2,4
Jiri Hudler,72,TOT,NHL,C,2015-16,32,16,30,46,-1,27,13,3,0,1,109,14.7,1135,0.22,0.42,0.64,1.51,3.7,1.1,4.8
David Krejci,72,BOS,NHL,C,2015-16,29,17,46,63,4,32,13,4,0,3,143,11.9,1462,0.24,0.64,0.88,1.99,4.9,1.7,6.6
Nathan MacKinnon,72,COL,NHL,C,2015-16,20,21,31,52,-4,20,14,7,0,6,245,8.6,1358,0.29,0.43,0.72,3.4,4.3,1.4,5.7
Patrick Maroon,72,TOT,NHL,LW,2015-16,27,12,15,27,-7,88,7,5,0,1,104,11.5,888,0.17,0.21,0.38,1.44,1.9,0.9,2.8
Rickard Rakell,72,ANA,NHL,C,2015-16,22,20,23,43,-1,19,16,4,0,7,169,11.8,1157,0.28,0.32,0.6,2.35,3.9,1.5,5.4
Luke Schenn,72,TOT,NHL,D,2015-16,26,4,12,16,-2,82,3,1,0,0,76,5.3,1265,0.06,0.17,0.22,1.06,0.7,2.6,3.3
Nate Schmidt,72,WSH,NHL,D,2015-16,24,2,14,16,12,16,2,0,0,1,80,2.5,1301,0.03,0.19,0.22,1.11,0.4,3.7,4
Tyler Seguin,72,DAL,NHL,C,2015-16,24,33,40,73,2,16,26,7,0,6,278,11.9,1400,0.46,0.56,1.01,3.86,8.2,1.3,9.6
Damon Severson,72,NJD,NHL,D,2015-16,21,1,20,21,-8,32,1,0,0,0,94,1.1,1308,0.01,0.28,0.29,1.31,0.9,3.1,4
Kevin Shattenkirk,72,STL,NHL,D,2015-16,27,14,30,44,-14,51,8,6,0,1,180,7.8,1614,0.19,0.42,0.61,2.5,4.5,2.6,7.1
Derek Stepan,72,NYR,NHL,C,2015-16,25,22,31,53,5,20,14,5,3,5,192,11.5,1278,0.31,0.43,0.74,2.67,5,1.4,6.4
Kevin Bieksa,71,ANA,NHL,D,2015-16,34,4,11,15,-7,99,2,2,0,1,109,3.7,1492,0.06,0.15,0.21,1.54,0.3,3.3,3.6
Brett Connolly,71,BOS,NHL,RW,2015-16,23,9,16,25,-1,20,7,2,0,2,95,9.5,920,0.13,0.23,0.35,1.34,1.3,0.9,2.2
Klas Dahlbeck,71,ARI,NHL,D,2015-16,24,2,6,8,-5,28,2,0,0,0,64,3.1,1117,0.03,0.08,0.11,0.9,-0.3,1.8,1.5
Derek Dorsett,71,VAN,NHL,RW,2015-16,29,5,11,16,-13,177,5,0,0,0,91,5.5,894,0.07,0.15,0.23,1.28,-0.1,0.6,0.5
Jonathan Ericsson,71,DET,NHL,D,2015-16,31,3,12,15,2,56,3,0,0,0,68,4.4,1316,0.04,0.17,0.21,0.96,0.4,3.3,3.7
Micheal Ferland,71,CGY,NHL,LW,2015-16,23,4,14,18,-15,45,3,1,0,0,122,3.3,896,0.06,0.2,0.25,1.72,-0.1,0.2,0.2
Zemgus Girgensons,71,BUF,NHL,C,2015-16,22,7,11,18,0,20,6,1,0,1,110,6.4,1068,0.1,0.15,0.25,1.55,-0.1,1.4,1.3
Lauri Korpikoski,71,EDM,NHL,LW,2015-16,29,10,12,22,-17,10,7,2,1,2,88,11.4,989,0.14,0.17,0.31,1.24,0.8,0.5,1.3
Scott Laughton,71,PHI,NHL,C,2015-16,21,7,14,21,-2,34,7,0,0,0,85,8.2,741,0.1,0.2,0.3,1.2,1,0.8,1.8
Kris Letang,71,PIT,NHL,D,2015-16,28,16,51,67,9,66,11,5,0,2,218,7.3,1913,0.23,0.72,0.94,3.07,7,4.3,11.3
Josh Manson,71,ANA,NHL,D,2015-16,24,5,10,15,11,74,5,0,0,1,88,5.7,1334,0.07,0.14,0.21,1.24,0.6,4.4,5
Shawn Matthias,71,TOT,NHL,C,2015-16,27,12,16,28,-17,20,12,0,0,2,101,11.9,959,0.17,0.23,0.39,1.42,1.8,0.4,2.2
Kevan Miller,71,BOS,NHL,D,2015-16,28,5,13,18,15,53,5,0,0,0,64,7.8,1353,0.07,0.18,0.25,0.9,0.9,3.7,4.6
John Mitchell,71,COL,NHL,C,2015-16,31,10,11,21,-7,52,10,0,0,3,101,9.9,1082,0.14,0.15,0.3,1.42,0.4,1,1.4
Torrey Mitchell,71,MTL,NHL,C,2015-16,31,11,8,19,2,51,10,0,1,3,69,15.9,901,0.15,0.11,0.27,0.97,0.8,1.1,1.9
Joakim Nordstrom,71,CAR,NHL,LW,2015-16,23,10,14,24,1,12,9,0,1,1,81,12.3,1109,0.14,0.2,0.34,1.14,0.8,1.6,2.3
Ryan O'Reilly,71,BUF,NHL,C,2015-16,24,21,39,60,-16,8,12,8,1,2,157,13.4,1543,0.3,0.55,0.85,2.21,5,1.4,6.4
Mathieu Perreault,71,WPG,NHL,C,2015-16,28,9,32,41,-11,36,3,6,0,1,133,6.8,1175,0.13,0.45,0.58,1.87,2.4,0.8,3.2
David Perron,71,TOT,NHL,LW,2015-16,27,12,24,36,-1,62,8,4,0,1,147,8.2,1080,0.17,0.34,0.51,2.07,2.4,1.2,3.6
Dion Phaneuf,71,TOT,NHL,D,2015-16,30,4,28,32,-7,90,4,0,0,0,144,2.8,1587,0.06,0.39,0.45,2.03,2,2.7,4.7
